Date, Time, Open, High, Low, Last, Volume, OpenInt, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, LBR Bars, 3/10, Mov Avg 3/10, 3/10 Diff, Line, Avg, Avg, IB, WR7, NR7, TP, 3BT, Pure 3BT, BO, HBO, LBO, PF3, PF3[1], 5SMA, ERun, STPvt, SIG, LongoBO, ShortBO, ROC, ROC (alt), ROC[1], STPvt, Highest ROC, Lowest ROC, LLHHDraw, RANK, ADX
2021-8-9, 00:00:00.000000, 44255, 46520, 42890, 46045, 7172, 5042, 44928, 45152, 44705, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 46045, 46045, 0, 0, 0, 0.0, 0, 0, 0, 46520, 42890, 0, 0, 0, 0, 46045, 0, 49675, 42415, 0.000, 0.000, 0.000, 46045.000, 0.000, 0.000, 0.000, 0.0, 0.0
2021-8-10, 00:00:00.000000, 45760, 46805, 44650, 45495, 5332, 5020, 45678, 45650, 45728, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 45678, 45770, 0, 0, 0, 0.0, 0, 0, 0, 46805, 42890, 0, 0, 0, 0, 46045, 0, 49675, 42415, -550.000, -550.000, 0.000, 45495.000, 0.000, -550.000, -550.000, 0.0, 0.0
2021-8-11, 00:00:00.000000, 45755, 46835, 45250, 46455, 3447, 5027, 46074, 46180, 46043, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 46067, 45998, 0, 0, 0, 30.1, 0, 0, 0, 46835, 42890, 0, 0, 0, 0, 45905, 1, 47650, 43340, 410.000, 410.000, -550.000, 45905.000, 410.000, -550.000, 410.000, 0.0, 0.0
2021-8-12, 00:00:00.000000, 46315, 46315, 43780, 44360, 5190, 5394, 45193, 44818, 45048, 0, 0, 0, -152.082, 0.000, 0.000, 0.000, 45384, 45589, 0, 0, 0, 11.9, 0, 0, 0, 46835, 43780, 0, 0, 0, 0, 45320, -1, 48040, 44870, -1135.000, -1135.000, 410.000, 45320.000, 410.000, -1135.000, -1135.000, 96.3, 0.0
2021-8-13, 00:00:00.000000, 44310, 48005, 43830, 46505, 3796, 5368, 45663, 46113, 45918, 0, 0, 0, 1.332, 0.000, 0.000, 0.000, 45758, 45772, 0, 0, 0, 0.8, 0, 0, 0, 48005, 43780, 0, 0, 0, 0, 44410, 1, 46895, 41825, 50.000, 50.000, -1135.000, 44410.000, 410.000, -1135.000, 0.000, 102.2, 0.0
2021-8-16, 00:00:00.000000, 46905, 48100, 45630, 46095, 4125, 5448, 46683, 46608, 46865, 0, 0, 0, -172.500, 0.000, 0.000, 0.000, 45854, 45782, 0, 0, 0, 21.9, 0, 0, 0, 48100, 43780, 0, 0, 0, 0, 48240, 2, 50680, 42330, 1735.000, 1735.000, 50.000, 48240.000, 1735.000, -1135.000, 1735.000, 99.2, 0.0
2021-8-17, 00:00:00.000000, 46000, 47205, 44520, 45520, 4393, 5442, 45811, 45748, 45863, 0, 0, 0, 257.855, 0.000, 0.000, 0.000, 45771, 45787, 0, 0, 0, 18.6, 1, 0, 0, 48100, 43830, 0, 0, 0, 0, 45110, -1, 48565, 43625, -985.000, -985.000, 1735.000, 45110.000, 1735.000, -1135.000, 0.000, 102.6, 0.0
2021-8-18, 00:00:00.000000, 44795, 46105, 44155, 44855, 5149, 5225, 44978, 45038, 45130, 0, 0, 0, -176.250, 0.000, 0.000, 0.000, 45567, 45467, 0, 0, 0, 27.9, 0, 0, 0, 48100, 44155, 0, 0, 0, 0, 44280, -2, 48205, 42835, -1240.000, -1240.000, -985.000, 44280.000, 1735.000, -1240.000, -1240.000, 96.5, 0.0
2021-8-19, 00:00:00.000000, 44530, 46900, 43900, 46700, 6208, 5221, 45508, 45833, 45400, 0, 0, 0, -89.441, 0.000, 0.000, 0.000, 45794, 45935, 0, 0, 0, 5.0, 0, 0, 0, 47205, 43900, 0, 0, 0, 0, 46035, 1, 46805, 42905, 1180.000, 1180.000, -1240.000, 46035.000, 1735.000, -1240.000, 0.000, 101.3, 0.0
2021-8-20, 00:00:00.000000, 46545, 49185, 46370, 48730, 5402, 4654, 47708, 48095, 47778, 0, 0, 0, 685.668, 0.000, 0.000, 0.000, 46328, 46380, 0, 0, 0, 41.2, 0, 0, 0, 49185, 43900, 0, 0, 0, 0, 50575, 2, 49700, 43700, 3875.000, 3875.000, 1180.000, 50575.000, 3875.000, -1240.000, 3875.000, 107.1, 0.0
2021-8-23, 00:00:00.000000, 48815, 50585, 48640, 49280, 5956, 4117, 49330, 49502, 49613, 0, 0, 1, 1837.168, 0.000, 0.000, 0.000, 46820, 47017, 0, 0, 1, 44.8, 0, 0, 0, 50585, 43900, 0, 0, 0, 0, 51310, -1, 51545, 45915, 2580.000, 2580.000, 3875.000, 51310.000, 3875.000, -1240.000, 0.000, 109.9, 0.0
2021-8-24, 00:00:00.000000, 49520, 49885, 47725, 48210, 5776, 3686, 48835, 48607, 48805, 0, 0, 1, 2069.000, 0.000, 0.000, 0.000, 47034, 47555, 0, 0, 0, 24.4, 1, 0, 0, 50585, 46370, 0, 0, 0, 0, 48760, -2, 51225, 47335, -520.000, -520.000, 2580.000, 48760.000, 3875.000, -1240.000, 0.000, 103.2, 0.0
2021-8-25, 00:00:00.000000, 48205, 49135, 47065, 48705, 6128, 2844, 48278, 48302, 48100, 0, 0, 1, 1835.668, 0.000, 0.000, 0.000, 47272, 48325, 0, 0, 0, 25.3, 0, 0, 0, 50585, 47065, 0, 0, 0, 1, 47635, -2, 50370, 46050, -575.000, -575.000, -520.000, 47635.000, 3875.000, -1240.000, 0.000, 99.9, 0.0
2021-8-26, 00:00:00.000000, 48950, 49345, 46230, 46940, 6139, 1604, 47866, 47505, 47788, 0, 0, 1, 797.668, 0.000, 0.000, 0.000, 47228, 48373, 0, 1, 0, 9.6, 0, 0, 0, 49885, 46230, 0, 0, 1, 0, 47435, -2, 50775, 46635, -1270.000, -1270.000, -575.000, 47435.000, 3875.000, -1270.000, -1270.000, 95.3, 0.0
2021-8-27, 00:00:00.000000, 47210, 49255, 46350, 48455, 5609, 5369, 47818, 48020, 47803, 0, 0, 1, 684.332, 0.000, 0.000, 0.000, 47381, 48318, 49255, 0, 0, 3.4, 1, 0, 0, 49345, 46230, 0, 0, 0, 0, 46690, 1, 50055, 43825, -250.000, -250.000, -1270.000, 46690.000, 3875.000, -1270.000, 0.000, 100.5, 0.0
2021-8-30, 00:00:00.000000, 49070, 49510, 47460, 48765, 3419, 5273, 48701, 48578, 48485, 0, 0, 1, 437.332, 0.000, 0.000, 0.000, 47544, 48215, 0, 0, 0, 19.7, 0, 0, 0, 49510, 46230, 0, 0, 0, 0, 50280, 2, 51360, 45550, 1825.000, 1825.000, -250.000, 50280.000, 3875.000, -1270.000, 0.000, 100.1, 0.0
2021-8-31, 00:00:00.000000, 48610, 48610, 46695, 47390, 4056, 5337, 47826, 47565, 47653, 0, 0, 1, 400.332, 0.000, 0.000, 0.000, 47527, 48051, 0, 0, 1, 19.7, 1, 0, 0, 49510, 46350, 0, 0, 0, 0, 47700, -1, 50815, 46715, -1065.000, -1065.000, 1825.000, 47700.000, 3875.000, -1270.000, 0.000, 101.0, 0.0
2021-9-1, 00:00:00.000000, 46940, 49270, 46530, 48320, 4280, 5513, 47765, 48040, 47900, 0, 0, 1, 8.832, 0.000, 0.000, 0.000, 47611, 47974, 0, 0, 0, 4.3, 0, 0, 0, 49510, 46530, 0, 0, 0, 0, 46945, 1, 49305, 45475, -445.000, -445.000, -1065.000, 46945.000, 3875.000, -1270.000, 0.000, 99.7, 0.0
2021-9-2, 00:00:00.000000, 48600, 50570, 48400, 49375, 4772, 5587, 49236, 49448, 49485, 0, 0, 1, -55.332, 0.000, 0.000, 0.000, 47787, 48461, 0, 0, 0, 34.1, 0, 0, 0, 50570, 46530, 0, 0, 0, 0, 50305, 2, 51060, 45580, 1985.000, 1985.000, -445.000, 50305.000, 3875.000, -1270.000, 0.000, 101.3, 0.0
2021-9-3, 00:00:00.000000, 49900, 51260, 48395, 50710, 5123, 5573, 50066, 50122, 49828, 0, 0, 1, 853.332, 0.000, 0.000, 0.000, 48065, 48912, 0, 0, 0, 23.1, 0, 0, 0, 51260, 46530, 0, 0, 0, 0, 51765, 2, 51545, 47205, 2390.000, 2390.000, 1985.000, 51765.000, 3875.000, -1270.000, 0.000, 107.0, 0.0
2021-9-7, 00:00:00.000000, 51755, 53125, 43705, 46780, 13967, 5398, 48841, 47870, 48415, 0, 0, 1, 590.000, 0.000, 0.000, 0.000, 47943, 48515, 0, 1, 0, 0.0, 0, 0, 0, 53125, 43705, 0, 0, 0, 0, 48115, -1, 53575, 47845, -2595.000, -2595.000, 2390.000, 48115.000, 3875.000, -2595.000, -2595.000, 96.8, 0.0
2021-9-8, 00:00:00.000000, 46590, 47440, 44500, 46520, 5680, 4995, 46263, 46153, 45970, 0, 0, 1, -192.668, 0.000, 0.000, 0.000, 47807, 48341, 47440, 0, 0, 34.4, 1, 0, 0, 53125, 43705, 0, 0, 0, 0, 42590, -2, 56200, 37360, -4190.000, -4190.000, -2595.000, 42590.000, 3875.000, -4190.000, -4190.000, 94.2, 0.0
2021-9-9, 00:00:00.000000, 46250, 47465, 45545, 46645, 4052, 4907, 46476, 46552, 46505, 0, 0, 1, -1341.668, 0.000, 0.000, 0.000, 47697, 48006, 0, 0, 0, 39.8, 1, 0, 0, 53125, 43705, 0, 0, 0, 0, 46385, 1, 49460, 43580, -135.000, -135.000, -4190.000, 46385.000, 3875.000, -4190.000, 0.000, 92.0, 0.0
